;;;Total km;Total D+;Total D-;Heure Départ;Heure Fin;Temps estimé;;
1;Les Breuleux;Boechet;6.6;200;-187;05:00;06:00;01:00;;
2;Boechet;Les joux derrière;23.2;841;-798;06:00;08:15;02:15;;
3;Les joux derrière;Patinoire chaux de fonds;32.7;1132;-1123;08:15;09:45;01:30;;
4;Patinoire chaux de fonds;Corbatière;36.5;1298;-1217;09:45;10:15;00:30;;
5;Corbatière;Vue des Alpes;42;1612;-1344;10:15;11:15;01:00;;
6;Vue des Alpes;Combe biosse;54;1939;-1960;11:15;12:45;01:30;;
7;Combe biosse;Col de chasseral;58.4;2464;-1976;12:45;13:30;00:45;;
8;Col de chasseral;Chasseral signal;60.8;2563;-1988;13:30;13:50;00:20;;
9;Chasseral signal;Frinvillier;75.5;2646;-3134;13:50;15:35;01:45;;
10;Frinvillier;Romont;84.07;3221;-3509;15:35;17:20;01:45;;
11;Romont;UnterGrenchenBerg;92;3975;-3668;17:20;19:05;01:45;;
12;UnterGrenchenBerg;GansBrunnen;102;4175;-4456;19:05;20:20;01:15;;
13;GansBrunnen;Crémine;108;4605;-5031;20:20;21:50;01:30;;
14;Crémine;Vermes;120;5336;-5793;21:50;23:50;02:00;;
15;Vermes;Vicques;126;5507;-6075;23:50;00:40;00:50;;
16;Vicques;Delémont (Hopital);135;5635;-6231;00:40;01:55;01:15;;
17;Delémont (Hopital);Fregiécourt;152;6346;-6833;01:55;04:40;02:45;;
18;Fregiécourt;Courgenay;159;6634;-7155;04:40;05:55;01:15;;
19;Courgenay;Porrentruy;163;6684;-7265;05:55;06:40;00:45;;
20;Porrentruy;Saint-Ursanne;178;7312;-7891;06:40;09:10;02:30;;
21;Saint-Ursanne;Sceut;186;7873;-8005;09:10;10:25;01:15;;
22;Sceut;Bollement;191;8032;-8234;10:25;11:10;00:45;;
23;Bollement;La Theurre;202;8351;-8380;11:10;12:40;01:30;;
24;La Theurre;La Chaux des Breuleux;206;8460;-8468;12:40;13:25;00:45;;
25;La Chaux des Breuleux;Le Roselet;208;8513;-8478;13:25;13:55;00:30;;
26;Le Roselet;Les Breuleux;210;8528;-8528;13:55;14:25;00:30;;
